/players/d/duranke01.html,Kevin Durant,2008,2017,TOT,NBA,703,37.4,3321,1260,703,26278,6463,13254,5203,9933,4935,5596,553,4478,5031,2663,840,738,2221,1330,19121,.488,.524,.379,.535,.882,.608,
/players/m/matthwe02.html,Wesley Matthews,2010,2017,TOT,NBA,592,32.7,3265,1252,532,19357,2825,6577,1573,3312,1355,1637,323,1549,1872,1272,660,113,784,1315,8257,.430,.475,.383,.525,.828,.566,
/players/n/nashst01.html,Steve Nash,2003,2014,TOT,NBA,828,33.4,2847,1227,823,27696,4781,9576,3554,6729,2340,2565,433,2274,2707,8301,617,84,2698,1203,13129,.499,.528,.431,.563,.912,.613,
/players/j/jacksst02.html,Stephen Jackson,2003,2014,TOT,NBA,758,33.7,3572,1191,635,25511,4327,10449,3136,6877,2407,3002,630,2464,3094,2483,1008,300,1988,1848,12252,.414,.456,.333,.471,.802,.520,
/players/a/anderry01.html,Ryan Anderson,2009,2017,TOT,NBA,556,26.5,3107,1184,231,14708,2525,5977,1341,2870,1082,1257,1135,1886,3021,505,303,195,549,1111,7316,.422,.467,.381,.521,.861,.560,
/players/w/willide01.html,Deron Williams,2006,2017,TOT,NBA,845,34.2,3296,1178,771,28865,4874,10964,3696,7668,2878,3502,353,2266,2619,6819,867,206,2402,2132,13804,.445,.482,.357,.498,.822,.552,
/players/a/anthoca01.html,Carmelo Anthony,2004,2017,TOT,NBA,976,36.2,3387,1172,976,35334,8616,19072,7444,15685,5752,7075,1742,4689,6431,3057,1030,471,2725,2833,24156,.452,.475,.346,.482,.813,.544,
/players/h/hinriki01.html,Kirk Hinrich,2004,2016,TOT,NBA,879,30.7,3122,1172,665,27015,3503,8522,2331,5400,1416,1770,310,2266,2576,4245,972,243,1617,2487,9594,.411,.432,.375,.480,.800,.516,
/players/g/gordobe01.html,Ben Gordon,2005,2015,TOT,NBA,744,27.4,2921,1171,269,20366,3931,9092,2760,6171,2051,2394,333,1518,1851,1868,508,114,1551,1720,11084,.432,.447,.401,.497,.857,.546,
/players/t/turkohe01.html,Hedo Turkoglu,2003,2015,TOT,NBA,843,27.9,2989,1155,554,23480,3423,8012,2268,5023,1820,2303,535,2863,3398,2600,641,244,1442,2080,9821,.427,.452,.386,.499,.790,.544,
/players/b/battish01.html,Shane Battier,2003,2014,TOT,NBA,899,29.9,2978,1147,627,26907,2570,5858,1423,2880,996,1323,1093,2571,3664,1501,867,825,723,1993,7283,.439,.494,.385,.537,.753,.565,
/players/a/arizatr01.html,Trevor Ariza,2005,2017,TOT,NBA,875,29.2,3259,1143,574,25539,3299,7753,2156,4494,1406,1961,927,3292,4219,1849,1326,282,1227,1757,9147,.426,.480,.351,.499,.717,.531,
/players/m/martike02.html,Kevin Martin,2005,2016,TOT,NBA,714,30.2,2969,1141,504,21559,3847,8797,2706,5828,3561,4091,401,1877,2278,1352,643,78,1200,1361,12396,.437,.464,.384,.502,.870,.585,
/players/l/lowryky01.html,Kyle Lowry,2007,2017,TOT,NBA,713,30.9,3121,1137,477,22058,3273,7712,2136,4591,2479,3103,597,2311,2908,4123,980,191,1582,1942,10162,.424,.465,.364,.498,.799,.560,
